날짜,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
20160621,62,42,0.046,0.042,0.6,0.005
20160622,70,48,0.034,0.038,0.6,0.005
20160623,44,30,0.036,0.029,0.5,0.005
20160624,55,32,0.032,0.027,0.4,0.004
20160625,32,17,0.04,0.021,0.4,0.004
20160626,31,18,0.041,0.019,0.4,0.005
20160627,35,21,0.034,0.034,0.4,0.006
20160628,61,41,0.04,0.034,0.5,0.005
20160629,36,24,0.039,0.03,0.4,0.005
20160630,30,20,0.028,0.022,0.4,0.004
20160701,21,14,0.018,0.024,0.3,0.004
20160702,14,9,0.029,0.019,0.3,0.004
20160703,41,29,0.043,0.019,0.4,0.004
20160704,21,14,0.021,0.025,0.4,0.003
20160705,13,8,0.012,0.019,0.4,0.004
20160706,18,9,0.023,0.024,0.4,0.004
20160707,42,26,0.025,0.038,0.5,0.006
20160708,56,36,0.034,0.032,0.5,0.004
20160709,39,23,0.029,0.026,0.4,0.004
20160710,35,22,0.03,0.028,0.4,0.005
20160711,54,36,0.039,0.035,0.5,0.005
20160712,38,27,0.026,0.03,0.4,0.006
20160713,30,17,0.014,0.025,0.3,0.005
20160714,29,17,0.03,0.023,0.3,0.004
20160715,18,10,0.026,0.02,0.3,0.004
20160716,9,5,0.018,0.017,0.3,0.004
20160717,14,9,0.021,0.015,0.3,0.004
20160718,28,16,0.018,0.025,0.4,0.005
20160719,36,21,0.036,0.03,0.4,0.004
20160720,37,23,0.037,0.028,0.4,0.004
20160721,31,19,0.035,0.025,0.4,0.004
20160722,36,23,0.036,0.024,0.4,0.004
20160723,41,27,0.028,0.024,0.4,0.004
20160724,38,25,0.019,0.019,0.3,0.004
20160725,44,31,0.019,0.023,0.3,0.005
20160726,34,23,0.015,0.019,0.3,0.005
20160727,35,23,0.016,0.019,0.3,0.004
20160728,57,39,0.04,0.02,0.5,0.004
20160729,46,29,0.02,0.031,0.5,0.004
20160730,44,30,0.029,0.023,0.4,0.004
20160731,39,27,0.018,0.017,0.3,0.004
20160801,33,22,0.014,0.021,0.4,0.004
20160802,27,16,0.013,0.025,0.4,0.004
20160803,29,17,0.027,0.028,0.4,0.004
20160804,32,20,0.029,0.027,0.4,0.004
20160805,40,26,0.039,0.03,0.5,0.004
20160806,59,39,0.049,0.03,0.6,0.004
20160807,36,25,0.038,0.022,0.4,0.004
20160808,40,25,0.03,0.023,0.4,0.004
20160809,32,22,0.036,0.027,0.4,0.004
20160810,64,44,0.039,0.027,0.5,0.005
20160811,32,20,0.026,0.023,0.4,0.004
20160812,42,28,0.027,0.024,0.4,0.004
20160813,36,25,0.021,0.019,0.3,0.004
20160814,36,27,0.02,0.014,0.3,0.004
20160815,36,23,0.03,0.018,0.4,0.004
20160816,46,29,0.037,0.027,0.5,0.005
20160817,42,25,0.034,0.027,0.4,0.004
20160818,53,35,0.043,0.033,0.5,0.005
20160819,60,42,0.039,0.037,0.5,0.005
20160820,33,21,0.038,0.023,0.4,0.004
